ID	Typ	Číslo	Název	Kategorie	Technické informace	Popis	Země	Rok	Historický status	Role	Poškození	AP	Režim palby	RC	Munice / kapacita	Conceal	Accuracy	Reach	Dostupnost	Cena	Dovednost	Výchozí vybavení	Rating	Kapacita zbroje	ArmorOverride	Handling	Speed	Acceleration	Body	Armor	Sensor	Seats	Pilot	Mount	Efekt / vlastnost	Bonus	Poznámka	Zdrojový soubor	Zdrojový řádek
Vozidlo:46:B-17 Flying Fortress	Vozidlo	46	B-17 Flying Fortress	SW1938 – Letadla		Americký těžký bombardér.	US	1938	Prototyp	Těžký bombardér									16F	350000				8		2/2	5	1	22	8	4	10	3				Létající pevnost; silně vyzbrojený.	docs/vehicles/batchV1_vozidla.tsv	47
Vozidlo:47:Ju 52	Vozidlo	47	Ju 52	SW1938 – Letadla		Německý dopravní letadlo.	DE	1932	Reálná	Dopravní letadlo									12F	150000				4		3/2	4	2	18	4	2	17	2				Transport; i výsadkový.	docs/vehicles/batchV1_vozidla.tsv	48
Vozidlo:48:Fieseler Storch	Vozidlo	48	Fieseler Storch	SW1938 – Letadla		Průzkumný a spojovací letoun STOL.	DE	1936	Reálná	Průzkumný letoun									10F	60000				2		4/4	3	3	8	2	2	2	1				Krátký vzlet a přistání.	docs/vehicles/batchV1_vozidla.tsv	49
Vozidlo:49:de Havilland Mosquito	Vozidlo	49	de Havilland Mosquito	SW1938 – Letadla		Rychlý dřevěný britský letoun.	UK	1941	Prototyp	Rychlý bombardér									15F	250000				3		5/4	7	3	12	3	4	2	2				Dřevěná konstrukce; velmi rychlý.	docs/vehicles/batchV1_vozidla.tsv	50
Vozidlo:50:Me 262	Vozidlo	50	Me 262	SW1938 – Letadla		První proudová stíhačka.	DE	1944	Prototyp	Proudová stíhačka									20F	500000				4		5/4	9	4	12	4	4	1	3				Proudový pohon; převratný prototyp.	docs/vehicles/batchV1_vozidla.tsv	51
Vozidlo:54:Torpédový člun (S-boot)	Vozidlo	54	Torpédový člun (S-boot)	SW1938 – Lodě		Rychlý torpédový člun.	DE	1935	Reálná	Torpédový člun									14F	200000				6		4/3	5	3	14	6	3	20	2				Rychlý; torpéda.	docs/vehicles/batchV1_vozidla.tsv	55
Vozidlo:55:Hlídkový člun	Vozidlo	55	Hlídkový člun	SW1938 – Lodě		Pobřežní hlídkový člun.	UK	1938	Reálná	Hlídkový člun									12F	120000				5		4/3	4	2	13	5	2	12	1				Hlídkování; kulomety.	docs/vehicles/batchV1_vozidla.tsv	56
Vozidlo:56:Nákladní loď	Vozidlo	56	Nákladní loď	SW1938 – Lodě		Civilní nákladní loď.	—	1930	Reálná	Nákladní loď									10R	300000				4		2/2	2	1	20	4	1	30	2				Převoz nákladu.	docs/vehicles/batchV1_vozidla.tsv	57
Vozidlo:57:Rybářská loď	Vozidlo	57	Rybářská loď	SW1938 – Lodě		Malá rybářská loď.	—	1930	Reálná	Rybářská loď									4R	40000				3		3/3	2	1	12	3	1	6	1				Civilní; nenápadná.	docs/vehicles/batchV1_vozidla.tsv	58
Vozidlo:58:Výsadková loď	Vozidlo	58	Výsadková loď	SW1938 – Lodě		Vyloďovací člun.	UK	1940	Prototyp	Vyloďovací člun									12F	90000				4		3/2	3	1	14	4	1	30	1				Vyloďování vojska.	docs/vehicles/batchV1_vozidla.tsv	59
Vozidlo:59:Minolovka	Vozidlo	59	Minolovka	SW1938 – Lodě		Protiminová loď.	UK	1938	Reálná	Minolovka									12F	150000				5		3/2	3	1	15	5	2	20	2				Odminování.	docs/vehicles/batchV1_vozidla.tsv	60
Vozidlo:60:Říční člun	Vozidlo	60	Říční člun	SW1938 – Lodě		Lehký říční člun.	—	1930	Reálná	Říční člun									3R	15000				2		4/4	3	2	8	2	1	6	1				Říční a jezerní.	docs/vehicles/batchV1_vozidla.tsv	61
Vozidlo:61:Civilní jachta	Vozidlo	61	Civilní jachta	SW1938 – Lodě		Soukromá jachta.	—	1930	Reálná	Jachta									6R	80000				2		4/3	3	2	12	2	1	8	1				Luxusní; civilní.	docs/vehicles/batchV1_vozidla.tsv	62
Vozidlo:1:BMW R12	Vozidlo	1	BMW R12	SW1938 – Motocykly		Civilní těžký motocykl.	DE	1935	Reálná	Civilní motocykl									4R	4000				3		4/3	3	2	5	3	1	1	1				Běžný civilní motocykl.	docs/vehicles/batchV1_vozidla.tsv	2
Vozidlo:2:DKW RT 125	Vozidlo	2	DKW RT 125	SW1938 – Motocykly		Lehký lidový motocykl.	DE	1939	Reálná	Lehký motocykl									3R	2500				2		5/4	3	3	4	2	1	1	1				Lehký a obratný; levný.	docs/vehicles/batchV1_vozidla.tsv	3
Vozidlo:3:Harley-Davidson WLA	Vozidlo	3	Harley-Davidson WLA	SW1938 – Motocykly		Vojenský motocykl.	US	1940	Prototyp	Vojenský motocykl									5R	5500				4		4/3	4	2	6	4	1	1	1				Robustní vojenský stroj.	docs/vehicles/batchV1_vozidla.tsv	4
Vozidlo:4:Zündapp KS 750	Vozidlo	4	Zündapp KS 750	SW1938 – Motocykly		Těžký vojenský motocykl s pohonem zadního kola.	DE	1941	Prototyp	Těžký vojenský motocykl									5R	6000				3		4/3	3	2	6	3	1	2	1				Pohon zadního kola; tažný.	docs/vehicles/batchV1_vozidla.tsv	5
Vozidlo:5:Zündapp s postranním vozíkem	Vozidlo	5	Zündapp s postranním vozíkem	SW1938 – Motocykly		Motocykl s postranním vozíkem.	DE	1941	Prototyp	Motocykl s vozíkem									6R	8000				4		3/2	3	1	7	4	1	3	1				Veze 3 osoby; stabilní.	docs/vehicles/batchV1_vozidla.tsv	6
Vozidlo:6:Motocykl s kulometem	Vozidlo	6	Motocykl s kulometem	SW1938 – Motocykly		Motocykl s lafetovaným kulometem ve vozíku.	DE	1941	Prototyp	Ozbrojený motocykl									8F	12000				5		3/2	3	1	7	5	1	2	1				Kulomet ve vozíku; vojenský.	docs/vehicles/batchV1_vozidla.tsv	7
Vozidlo:7:Kettenkrad (Sd.Kfz 2)	Vozidlo	7	Kettenkrad (Sd.Kfz 2)	SW1938 – Motocykly		Polopásý motocykl pro těžký terén.	DE	1941	Prototyp	Polopásý motocykl									8R	10000				4		4/3	3	2	7	4	1	2	1				Pásy vzadu; výborný v terénu.	docs/vehicles/batchV1_vozidla.tsv	8
Vozidlo:8:Goliath	Vozidlo	8	Goliath	SW1938 – Motocykly		Dálkově řízené pásové vozidlo s náloží.	DE	1942	Prototyp	Dálkově řízená nálož									12F	5000				4		3	2	1	3	4	0	0	0				Bezpilotní nálož; velmi vzácný.	docs/vehicles/batchV1_vozidla.tsv	9
Vozidlo:19:Opel Blitz	Vozidlo	19	Opel Blitz	SW1938 – Nákladní auta		Standardní nákladní auto.	DE	1937	Reálná	Nákladní auto									5R	12000				4		3/3	2	1	15	4	1	3	1				Základní logistika.	docs/vehicles/batchV1_vozidla.tsv	20
Vozidlo:20:GAZ-AAA	Vozidlo	20	GAZ-AAA	SW1938 – Nákladní auta		Sovětské nákladní auto.	SU	1936	Reálná	Nákladní auto									5R	9000				3		3/2	2	1	14	3	1	3	1				Robustní; jednoduché.	docs/vehicles/batchV1_vozidla.tsv	21
Vozidlo:21:Sd.Kfz 251	Vozidlo	21	Sd.Kfz 251	SW1938 – Nákladní auta		Polopásý obrněný transportér.	DE	1939	Prototyp	Obrněný transportér									8F	25000				8		3/3	3	2	16	8	2	10	1				Veze družstvo; pancéřovaný.	docs/vehicles/batchV1_vozidla.tsv	22
Vozidlo:22:Sd.Kfz 7	Vozidlo	22	Sd.Kfz 7	SW1938 – Nákladní auta		Polopásý dělostřelecký tahač.	DE	1938	Reálná	Dělostřelecký tahač									8R	20000				5		3/2	3	1	16	5	1	8	1				Tahá děla; silný.	docs/vehicles/batchV1_vozidla.tsv	23
Vozidlo:23:Lanz Bulldog	Vozidlo	23	Lanz Bulldog	SW1938 – Nákladní auta		Těžký zemědělský traktor.	DE	1921	Reálná	Traktor									4R	10000				3		2/2	1	1	15	3	1	2	1				Pomalý, ale silný.	docs/vehicles/batchV1_vozidla.tsv	24
Vozidlo:24:Cisternový vůz	Vozidlo	24	Cisternový vůz	SW1938 – Nákladní auta		Nákladní cisterna na palivo.	—	1938	Reálná	Palivová cisterna									6R	15000				4		3/3	2	1	16	4	1	2	1				Převoz paliva; výbušný náklad.	docs/vehicles/batchV1_vozidla.tsv	25
Vozidlo:25:Muniční vůz	Vozidlo	25	Muniční vůz	SW1938 – Nákladní auta		Nákladní vůz s municí.	—	1938	Reálná	Muniční vůz									7R	14000				5		3/3	2	1	15	5	1	2	1				Převoz munice.	docs/vehicles/batchV1_vozidla.tsv	26
Vozidlo:26:Pontonový vůz	Vozidlo	26	Pontonový vůz	SW1938 – Nákladní auta		Vůz pro převoz pontonů a mostů.	—	1938	Reálná	Ženijní vůz									8R	18000				4		3/2	2	1	17	4	1	4	1				Stavba mostů; ženijní.	docs/vehicles/batchV1_vozidla.tsv	27
Vozidlo:27:Panzer II	Vozidlo	27	Panzer II	SW1938 – Obrněná vozidla		Lehký tank.	DE	1936	Reálná	Lehký tank									12F	80000				12		3/2	3	2	18	12	2	3	1				Lehký a rychlý; slabší pancíř.	docs/vehicles/batchV1_vozidla.tsv	28
Vozidlo:28:Panzer IV	Vozidlo	28	Panzer IV	SW1938 – Obrněná vozidla		Střední tank.	DE	1939	Prototyp	Střední tank									14F	150000				16		3/2	3	2	22	16	3	5	1				Univerzální střední tank.	docs/vehicles/batchV1_vozidla.tsv	29
Vozidlo:29:T-26	Vozidlo	29	T-26	SW1938 – Obrněná vozidla		Sovětský lehký tank.	SU	1931	Reálná	Lehký tank									12F	70000				10		3/2	3	2	18	10	2	3	1				Početný sovětský tank.	docs/vehicles/batchV1_vozidla.tsv	30
Vozidlo:30:Matilda II	Vozidlo	30	Matilda II	SW1938 – Obrněná vozidla		Britský pěchotní tank s tlustým pancířem.	UK	1939	Prototyp	Pěchotní tank									14F	130000				18		2/2	2	1	20	18	2	4	1				Velmi silný pancíř; pomalý.	docs/vehicles/batchV1_vozidla.tsv	31
Vozidlo:31:Char B1	Vozidlo	31	Char B1	SW1938 – Obrněná vozidla		Francouzský těžký tank.	FR	1936	Reálná	Těžký tank									14F	140000				17		2/2	2	1	21	17	2	4	1				Silný pancíř; pomalý.	docs/vehicles/batchV1_vozidla.tsv	32
Vozidlo:32:T-34	Vozidlo	32	T-34	SW1938 – Obrněná vozidla		Revoluční sovětský střední tank.	SU	1940	Prototyp	Střední tank									16F	180000				18		3/3	4	3	24	18	3	4	1				Šikmý pancíř; převratný.	docs/vehicles/batchV1_vozidla.tsv	33
Vozidlo:33:Tiger I	Vozidlo	33	Tiger I	SW1938 – Obrněná vozidla		Německý těžký tank.	DE	1942	Prototyp	Těžký tank									18F	350000				22		3/2	3	2	26	22	3	5	1				Legendární pancíř a dělo; pomalý.	docs/vehicles/batchV1_vozidla.tsv	34
Vozidlo:34:Sd.Kfz 231	Vozidlo	34	Sd.Kfz 231	SW1938 – Obrněná vozidla		Těžké obrněné průzkumné vozidlo.	DE	1932	Reálná	Obrněné auto									12F	60000				10		4/3	4	3	16	10	2	4	1				Rychlé; osmikolové.	docs/vehicles/batchV1_vozidla.tsv	35
Vozidlo:35:Flakpanzer	Vozidlo	35	Flakpanzer	SW1938 – Obrněná vozidla		Samohybný protiletadlový kanón.	DE	1941	Prototyp	Protiletadlový vůz									14F	120000				12		3/3	3	2	20	12	3	4	1				Proti letadlům.	docs/vehicles/batchV1_vozidla.tsv	36
Vozidlo:36:StuG III	Vozidlo	36	StuG III	SW1938 – Obrněná vozidla		Samohybné útočné dělo.	DE	1940	Prototyp	Útočné dělo									14F	130000				15		3/3	3	2	21	15	2	4	1				Bez věže; nižší silueta.	docs/vehicles/batchV1_vozidla.tsv	37
Vozidlo:37:Sd.Kfz 247	Vozidlo	37	Sd.Kfz 247	SW1938 – Obrněná vozidla		Velitelské obrněné vozidlo.	DE	1937	Reálná	Velitelské vozidlo									11F	50000				8		3/3	3	2	15	8	3	4	1				Velení; rádiové vybavení.	docs/vehicles/batchV1_vozidla.tsv	38
Vozidlo:38:Panzerwerfer	Vozidlo	38	Panzerwerfer	SW1938 – Obrněná vozidla		Samohybný raketomet.	DE	1942	Prototyp	Raketomet									15F	100000				10		3/2	3	2	18	10	2	3	1				Salvový raketomet; prototyp.	docs/vehicles/batchV1_vozidla.tsv	39
Vozidlo:39:Flammpanzer	Vozidlo	39	Flammpanzer	SW1938 – Obrněná vozidla		Tank s plamenometem.	DE	1941	Prototyp	Plamenometný tank									15F	90000				11		3/3	3	2	18	11	2	3	1				Plamenomet; obávaný.	docs/vehicles/batchV1_vozidla.tsv	40
Vozidlo:10:Mercedes-Benz 770	Vozidlo	10	Mercedes-Benz 770	SW1938 – Osobní auta		Luxusní reprezentativní limuzína.	DE	1930	Reálná	Luxusní limuzína									6R	25000				4		4/4	3	2	12	4	2	5	1				Reprezentativní; pancéřovaná verze.	docs/vehicles/batchV1_vozidla.tsv	11
Vozidlo:11:Kübelwagen	Vozidlo	11	Kübelwagen	SW1938 – Osobní auta		Vojenský terénní vůz.	DE	1940	Prototyp	Vojenský terénní vůz									5R	5000				3		4/3	3	2	9	3	1	4	1				Lehký terénní; vojenský.	docs/vehicles/batchV1_vozidla.tsv	12
Vozidlo:12:Willys MB	Vozidlo	12	Willys MB	SW1938 – Osobní auta		Legendární americký džíp.	US	1941	Prototyp	Terénní džíp									5R	7000				4		5/4	3	3	10	4	1	4	1				Obratný a spolehlivý.	docs/vehicles/batchV1_vozidla.tsv	13
Vozidlo:13:Horch 108	Vozidlo	13	Horch 108	SW1938 – Osobní auta		Těžký štábní terénní vůz.	DE	1938	Reálná	Štábní vůz									6R	12000				4		4/3	3	2	11	4	2	5	1				Pro štáb a důstojníky.	docs/vehicles/batchV1_vozidla.tsv	14
Vozidlo:14:Tatra 87	Vozidlo	14	Tatra 87	SW1938 – Osobní auta		Aerodynamická československá limuzína.	CS	1937	Reálná	Rychlá limuzína									5R	15000				3		5/4	4	3	10	3	1	4	1				Rychlá a elegantní; česká.	docs/vehicles/batchV1_vozidla.tsv	15
Vozidlo:15:KdF-Wagen	Vozidlo	15	KdF-Wagen	SW1938 – Osobní auta		Lidový vůz (budoucí Volkswagen).	DE	1938	Prototyp	Lidový vůz									6R	4000				3		4/3	3	2	9	3	1	4	1				Lidový vůz; prototyp.	docs/vehicles/batchV1_vozidla.tsv	16
Vozidlo:16:Policejní auto	Vozidlo	16	Policejní auto	SW1938 – Osobní auta		Policejní hlídkový vůz.	—	1938	Reálná	Policejní vůz									4R	8000				4		4/4	3	2	10	4	2	4	1				Hlídkový vůz; siréna.	docs/vehicles/batchV1_vozidla.tsv	17
Vozidlo:17:Ambulance	Vozidlo	17	Ambulance	SW1938 – Osobní auta		Polní sanitní vůz.	—	1938	Reálná	Sanitní vůz									5R	9000				3		3/3	2	1	12	3	1	6	1				Převoz raněných.	docs/vehicles/batchV1_vozidla.tsv	18
Vozidlo:18:Citroën P17	Vozidlo	18	Citroën P17	SW1938 – Osobní auta		Polopásý terénní vůz.	FR	1937	Prototyp	Polopásý vůz									7R	10000				4		3/2	3	1	11	4	1	4	1				Polopásý; experimentální.	docs/vehicles/batchV1_vozidla.tsv	19
Vozidlo:9:Opel Olympia	Vozidlo	9	Opel Olympia	SW1938 – Osobní auta		Civilní rodinný sedan.	DE	1935	Reálná	Civilní sedan									3R	6000				3		4/4	3	2	10	3	1	4	1				Běžné civilní auto.	docs/vehicles/batchV1_vozidla.tsv	10
Vozidlo:62:Type VII (U-boat)	Vozidlo	62	Type VII (U-boat)	SW1938 – Ponorky		Německá oceánská ponorka.	DE	1936	Reálná	Oceánská ponorka									16F	500000				8		3/2	3	1	20	8	3	44	3				Torpéda; hrozba konvojům.	docs/vehicles/batchV1_vozidla.tsv	63
Vozidlo:63:Type II (pobřežní)	Vozidlo	63	Type II (pobřežní)	SW1938 – Ponorky		Malá pobřežní ponorka.	DE	1935	Reálná	Pobřežní ponorka									14F	200000				6		3/2	3	1	12	6	2	25	2				Menší; pobřežní operace.	docs/vehicles/batchV1_vozidla.tsv	64
Vozidlo:64:Neger (miniponorka)	Vozidlo	64	Neger (miniponorka)	SW1938 – Ponorky		Jednomístná miniponorka s torpédem.	DE	1943	Prototyp	Miniponorka									14F	30000				3		3/2	2	1	6	3	1	1	1				Sebevražedná; prototyp.	docs/vehicles/batchV1_vozidla.tsv	65
Vozidlo:65:Focke-Wulf Fw 61	Vozidlo	65	Focke-Wulf Fw 61	SW1938 – Vrtulníky		První praktický vrtulník.	DE	1936	Prototyp	Vrtulník									16F	120000				2		4/4	3	2	8	2	2	2	2				Experimentální; převratný.	docs/vehicles/batchV1_vozidla.tsv	66
Vozidlo:66:Cierva C.30	Vozidlo	66	Cierva C.30	SW1938 – Vrtulníky		Autogyra.	UK	1934	Prototyp	Autogyra									14F	80000				2		4/3	3	2	8	2	2	2	1				Rotor bez motoru; bezpečná.	docs/vehicles/batchV1_vozidla.tsv	67
Vozidlo:67:Focke-Achgelis Fa 223	Vozidlo	67	Focke-Achgelis Fa 223	SW1938 – Vrtulníky		Transportní vrtulník.	DE	1940	Prototyp	Transportní vrtulník									18F	200000				3		4/4	3	2	12	3	2	4	2				První transportní vrtulník.	docs/vehicles/batchV1_vozidla.tsv	68
Vozidlo:51:Hindenburg (LZ 129)	Vozidlo	51	Hindenburg (LZ 129)	SW1938 – Vzducholodě		Obří dopravní vzducholoď.	DE	1936	Reálná	Dopravní vzducholoď									16F	800000				2		2/1	2	1	25	2	2	50	3				Obří vzducholoď; luxusní.	docs/vehicles/batchV1_vozidla.tsv	52
Vozidlo:52:Graf Zeppelin (LZ 127)	Vozidlo	52	Graf Zeppelin (LZ 127)	SW1938 – Vzducholodě		Dálková výzkumná vzducholoď.	DE	1928	Reálná	Výzkumná vzducholoď									15F	600000				2		2/1	2	1	24	2	2	40	3				Dálkové lety; výzkum.	docs/vehicles/batchV1_vozidla.tsv	53
Vozidlo:53:Průzkumná vzducholoď	Vozidlo	53	Průzkumná vzducholoď	SW1938 – Vzducholodě		Malá neztužená vzducholoď (blimp).	—	1938	Reálná	Průzkumná vzducholoď									10F	80000				1		3/2	2	1	12	1	2	4	1				Pomalá; pozorovací.	docs/vehicles/batchV1_vozidla.tsv	54
Vybavení:30:Padělané doklady	Vybavení	30	Padělané doklady	SW1938 – Dokumenty & různé		Falešné průkazy a cestovní dokumenty.	—	1930	Reálná	Infiltrace									10F	1000			0												-		Kvalita dle ceny.	docs/gear/batchG1_vybaveni.tsv	31
Vybavení:31:Hodinky	Vybavení	31	Hodinky	SW1938 – Dokumenty & různé		Kapesní nebo náramkové hodinky.	—	1900	Reálná	Čas									3	150			0												-		Společenský doplněk.	docs/gear/batchG1_vybaveni.tsv	32
Vybavení:32:Mapy a plány	Vybavení	32	Mapy a plány	SW1938 – Dokumenty & různé		Vojenské mapy a plány.	—	1900	Reálná	Navigace a plánování									4R	200			0												+1 na navigaci		Užitečné pro operace.	docs/gear/batchG1_vybaveni.tsv	33
Vybavení:33:Peníze	Vybavení	33	Peníze	SW1938 – Dokumenty & různé		Hotovost nebo valuty.	—	1900	Reálná	Platidlo									0	Variable(10-100000)			0												-		Běžná měna dle země.	docs/gear/batchG1_vybaveni.tsv	34
Vybavení:1:Polní telefon	Vybavení	1	Polní telefon	SW1938 – Elektronika		Přenosný telefon s kabelem.	—	1915	Reálná	Polní komunikace									4	150			0												-		Spolehlivý, ale potřebuje kabel.	docs/gear/batchG1_vybaveni.tsv	2
Vybavení:2:Telegrafní klíč	Vybavení	2	Telegrafní klíč	SW1938 – Elektronika		Klíč pro morseovku.	—	1900	Reálná	Telegrafie									3	50			0												-		Základní komunikace na dálku.	docs/gear/batchG1_vybaveni.tsv	3
Vybavení:3:Polní vysílačka	Vybavení	3	Polní vysílačka	SW1938 – Elektronika		Přenosná radiostanice krátkého dosahu.	—	1938	Reálná	Rádiová komunikace									6R	500			0												-		Základní rádiové spojení.	docs/gear/batchG1_vybaveni.tsv	4
Vybavení:4:Přenosná radiostanice	Vybavení	4	Přenosná radiostanice	SW1938 – Elektronika		Výkonnější přenosná radiostanice.	—	1938	Reálná	Rádiová komunikace (delší dosah)									7R	800			0												-		Delší dosah, těžší.	docs/gear/batchG1_vybaveni.tsv	5
Vybavení:5:Rádiový zaměřovač	Vybavení	5	Rádiový zaměřovač	SW1938 – Elektronika		Zaměřovač cizí radiové komunikace.	—	1938	Prototyp	Rádiový průzkum									8R	1200			0												detekce vysílání		Odhalí nepřátelské vysílačky.	docs/gear/batchG1_vybaveni.tsv	6
Vybavení:6:Rušička	Vybavení	6	Rušička	SW1938 – Elektronika		Širokopásmová rádiová rušička.	—	1938	Prototyp	Rušení komunikace									10F	2000			0												ruší rádio		Velká, energeticky náročná.	docs/gear/batchG1_vybaveni.tsv	7
Vybavení:17:Sada nářadí	Vybavení	17	Sada nářadí	SW1938 – Nářadí & survival		Základní mechanické nářadí.	—	1900	Reálná	Opravy a sabotáž									3	150			0												+2 na opravy		Pro mechaniku a demolice.	docs/gear/batchG1_vybaveni.tsv	18
Vybavení:18:Lano	Vybavení	18	Lano	SW1938 – Nářadí & survival		Konopné lano 20 m.	—	1900	Reálná	Šplhání									2	30			0												-		Základní horolezecká výbava.	docs/gear/batchG1_vybaveni.tsv	19
Vybavení:19:Svítilna	Vybavení	19	Svítilna	SW1938 – Nářadí & survival		Ruční elektrická svítilna.	—	1900	Reálná	Osvětlení									2	20			0												-		Nutná v temnotě.	docs/gear/batchG1_vybaveni.tsv	20
Vybavení:20:Kompas	Vybavení	20	Kompas	SW1938 – Nářadí & survival		Orientace v terénu.	—	1900	Reálná	Navigace									2	40			0												-		Základní orientace.	docs/gear/batchG1_vybaveni.tsv	21
Vybavení:21:Stan	Vybavení	21	Stan	SW1938 – Nářadí & survival		Polní stan pro dvě osoby.	—	1900	Reálná	Přístřeší									2	80			0												-		Odpočinek v terénu.	docs/gear/batchG1_vybaveni.tsv	22
Vybavení:22:Polní výbava	Vybavení	22	Polní výbava	SW1938 – Nářadí & survival		Ešus, příbor, polní láhev.	—	1900	Reálná	Polní stravování									1	20			0												-		Základní výbava vojáka.	docs/gear/batchG1_vybaveni.tsv	23
Vybavení:23:Zapalovač	Vybavení	23	Zapalovač	SW1938 – Nářadí & survival		Benziňový zapalovač.	—	1920	Reálná	Zapalování ohně									1	10			0												-		Malý a užitečný.	docs/gear/batchG1_vybaveni.tsv	24
Vybavení:24:Rituální potřeby	Vybavení	24	Rituální potřeby	SW1938 – Okultní & teslapunk		Křída, svíce, symboly.	—	1900	Reálná	Okultní rituály									4	50			0												-		Pro rituály a ochranu.	docs/gear/batchG1_vybaveni.tsv	25
Vybavení:25:Talisman / amulet	Vybavení	25	Talisman / amulet	SW1938 – Okultní & teslapunk		Ochranný amulet.	—	1900	Reálná	Ochrana proti duchům									6R	300			0												+1 vs duchové		Víra a ochrana.	docs/gear/batchG1_vybaveni.tsv	26
Vybavení:26:Grimoár	Vybavení	26	Grimoár	SW1938 – Okultní & teslapunk		Kniha okultních znalostí.	—	1900	Reálná	Okultní znalosti									8F	1500			0												+2 na okultní znalosti		Vzácný; zakázaný.	docs/gear/batchG1_vybaveni.tsv	27
Vybavení:27:Teslapunkový detektor magie	Vybavení	27	Teslapunkový detektor magie	SW1938 – Okultní & teslapunk		Přístroj detekující magické jevy.	CS	1938	Setting	Detekce magie									14F	5000			0												detekce magie		Klíčový pro okultní průzkum.	docs/gear/batchG1_vybaveni.tsv	28
Vybavení:28:Teslapunkové komponenty	Vybavení	28	Teslapunkové komponenty	SW1938 – Okultní & teslapunk		Náhradní cívky, elektronky, vodiče.	CS	1938	Setting	Opravy teslapunku									12F	1000			0												-		Nutné pro opravy aparatur.	docs/gear/batchG1_vybaveni.tsv	29
Vybavení:29:Rušička duchů	Vybavení	29	Rušička duchů	SW1938 – Okultní & teslapunk		Okultní aparatura rušící manifestaci entit.	DE	1938	Setting	Rušení duchů									16F	6000			0												ruší manifestaci duchů		Velmi vzácná a nebezpečná.	docs/gear/batchG1_vybaveni.tsv	30
Vybavení:10:Fotoaparát	Vybavení	10	Fotoaparát	SW1938 – Optika		Polní fotoaparát.	—	1930	Reálná	Dokumentace									4	200			0												-		Pro špionáž a dokumentaci.	docs/gear/batchG1_vybaveni.tsv	11
Vybavení:7:Zvětšovací sklo	Vybavení	7	Zvětšovací sklo	SW1938 – Optika		Lupa pro detailní práci.	—	1900	Reálná	Detailní práce									2	30			0												+1 na detailní zkoumání		Malé a nenápadné.	docs/gear/batchG1_vybaveni.tsv	8
Vybavení:8:Dalekohled	Vybavení	8	Dalekohled	SW1938 – Optika		Polní dalekohled.	—	1900	Reálná	Pozorování na dálku									3	100			0												+2 Perception (dálka)		Základní průzkum.	docs/gear/batchG1_vybaveni.tsv	9
Vybavení:9:Dálkoměr	Vybavení	9	Dálkoměr	SW1938 – Optika		Optický dálkoměr.	—	1938	Reálná	Zaměřování									5R	400			0												+1 na střelbu (dálka)		Pomáhá odstřelovačům.	docs/gear/batchG1_vybaveni.tsv	10
Vybavení:11:Antiseptikum	Vybavení	11	Antiseptikum	SW1938 – Zdravotnictví & chemie		Dezinfekce a obvazy.	—	1900	Reálná	První pomoc									2	20			0												-		Základní lékařská potřeba.	docs/gear/batchG1_vybaveni.tsv	12
Vybavení:12:Lékárnička	Vybavení	12	Lékárnička	SW1938 – Zdravotnictví & chemie		Polní lékařská sada.	—	1900	Reálná	Lékařská pomoc									4	200			0												+2 na First Aid		Potřebná pro ošetření.	docs/gear/batchG1_vybaveni.tsv	13
Vybavení:13:Morfin	Vybavení	13	Morfin	SW1938 – Zdravotnictví & chemie		Lék proti bolesti.	—	1900	Reálná	Tišení bolesti									6R	50			0												-		Zmírní bolest a postihy.	docs/gear/batchG1_vybaveni.tsv	14
Vybavení:14:Plynová maska	Vybavení	14	Plynová maska	SW1938 – Zdravotnictví & chemie		Ochranná maska proti plynům.	—	1915	Reálná	Ochrana proti plynům									5R	150			0												imunita vůči plynům		Kritická pro zákopovou válku.	docs/gear/batchG1_vybaveni.tsv	15
Vybavení:15:Detektor plynu	Vybavení	15	Detektor plynu	SW1938 – Zdravotnictví & chemie		Chemický detektor bojových plynů.	—	1938	Prototyp	Detekce plynů									6R	300			0												detekce plynu		Varování před útokem plynem.	docs/gear/batchG1_vybaveni.tsv	16
Vybavení:16:Pervitin	Vybavení	16	Pervitin	SW1938 – Zdravotnictví & chemie		Stimulant pro bojovou výdrž.	DE	1938	Reálná	Stimulant									8F	100			0												+2 na odolnost (dočasně)		Návykový; vojenský stimulant.	docs/gear/batchG1_vybaveni.tsv	17
Zbraň:90:Panzerbüchse 39	Zbraň	90	Panzerbüchse 39	Assault Cannons	7,92×94 mm, protitanková puška	Německá protitanková puška.	DE	1939	Prototyp	Německá PT puška	12P	-5	SS	0	1(m)	10	5		18F	6000	Heavy Weapons	dvojnožka															Přesná a průbojná; jednoranná, drahá.	docs/weapons/batch09_tezke.tsv	4
Zbraň:91:Boys Anti-Tank Rifle	Zbraň	91	Boys Anti-Tank Rifle	Assault Cannons	.55 Boys, protitanková puška	Britská protitanková puška.	UK	1937	Reálná	Britská PT puška	12P	-4	SS	0	5(c)	10	4		16F	5000	Heavy Weapons	dvojnožka															Větší zásobník a nižší cena; menší AP.	docs/weapons/batch09_tezke.tsv	5
Zbraň:92:PTRD-41	Zbraň	92	PTRD-41	Assault Cannons	14,5×114 mm, protitanková puška	Sovětská protitanková puška.	SU	1941	Prototyp	Sovětská PT puška (průbojná)	13P	-6	SS	0	1(m)	10	4		18F	7000	Heavy Weapons	dvojnožka															Nejsilnější a nejprůbojnější; jednoranná, drahá.	docs/weapons/batch09_tezke.tsv	6
